127.0.0.1 - - [03/Dec/2021:20:37:34 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [03/Dec/2021:20:40:24 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 5077
0:0:0:0:0:0:0:1 - - [03/Dec/2021:20:40:24 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 1985
0:0:0:0:0:0:0:1 - - [03/Dec/2021:20:40:24 -0300] "GET /ProjetoTrilhaWeb/js/jquery-ui.js HTTP/1.1" 200 520714
0:0:0:0:0:0:0:1 - - [03/Dec/2021:20:40:24 -0300] "GET /ProjetoTrilhaWeb/css/jquery-ui.css HTTP/1.1" 200 36828
0:0:0:0:0:0:0:1 - - [03/Dec/2021:20:40:24 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 200 1011
0:0:0:0:0:0:0:1 - - [03/Dec/2021:20:40:24 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/footer.html HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [03/Dec/2021:20:40:24 -0300] "GET /ProjetoTrilhaWeb/imgs/logo.png HTTP/1.1" 200 114352
0:0:0:0:0:0:0:1 - - [03/Dec/2021:20:40:31 -0300] "GET /ProjetoTrilhaWeb/pages/admin/marcas/ HTTP/1.1" 200 1158
0:0:0:0:0:0:0:1 - - [03/Dec/2021:20:40:31 -0300] "GET /ProjetoTrilhaWeb/js/marca.js HTTP/1.1" 200 6620
0:0:0:0:0:0:0:1 - - [03/Dec/2021:20:40:31 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscarMarca?valorBusca= HTTP/1.1" 200 236
0:0:0:0:0:0:0:1 - - [03/Dec/2021:20:40:31 -0300] "GET /ProjetoTrilhaWeb/imgs/edit.png HTTP/1.1" 200 9720
0:0:0:0:0:0:0:1 - - [03/Dec/2021:20:40:31 -0300] "GET /ProjetoTrilhaWeb/imgs/delete.png HTTP/1.1" 200 74232
0:0:0:0:0:0:0:1 - - [03/Dec/2021:20:40:35 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 200 981
0:0:0:0:0:0:0:1 - - [03/Dec/2021:20:40:35 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 5077
0:0:0:0:0:0:0:1 - - [03/Dec/2021:20:40:35 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 1985
0:0:0:0:0:0:0:1 - - [03/Dec/2021:20:40:35 -0300] "GET /ProjetoTrilhaWeb/css/jquery-ui.css HTTP/1.1" 200 36828
0:0:0:0:0:0:0:1 - - [03/Dec/2021:20:40:35 -0300] "GET /ProjetoTrilhaWeb/js/jquery-ui.js HTTP/1.1" 200 520714
0:0:0:0:0:0:0:1 - - [03/Dec/2021:20:40:36 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 200 1011
0:0:0:0:0:0:0:1 - - [03/Dec/2021:20:40:36 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/footer.html HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [03/Dec/2021:20:40:36 -0300] "GET /ProjetoTrilhaWeb/imgs/logo.png HTTP/1.1" 200 114352
0:0:0:0:0:0:0:1 - - [03/Dec/2021:20:40:38 -0300] "GET /ProjetoTrilhaWeb/pages/admin/product/ HTTP/1.1" 200 2554
0:0:0:0:0:0:0:1 - - [03/Dec/2021:20:40:38 -0300] "GET /ProjetoTrilhaWeb/js/product.js HTTP/1.1" 200 9699
0:0:0:0:0:0:0:1 - - [03/Dec/2021:20:40:38 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [03/Dec/2021:20:40:38 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 355
0:0:0:0:0:0:0:1 - - [03/Dec/2021:20:40:38 -0300] "GET /ProjetoTrilhaWeb/imgs/edit.png HTTP/1.1" 200 9720
0:0:0:0:0:0:0:1 - - [03/Dec/2021:20:40:38 -0300] "GET /ProjetoTrilhaWeb/imgs/delete.png HTTP/1.1" 200 74232
0:0:0:0:0:0:0:1 - - [03/Dec/2021:20:48:51 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 355
0:0:0:0:0:0:0:1 - - [03/Dec/2021:20:48:52 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar HTTP/1.1" 200 194
