127.0.0.1 - - [07/Dec/2020:19:25:57 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [07/Dec/2020:19:26:19 -0300] "GET /ProjetoFaClube/ HTTP/1.1" 200 1385
0:0:0:0:0:0:0:1 - - [07/Dec/2020:19:26:19 -0300] "GET /ProjetoFaClube/css/site.css HTTP/1.1" 200 3674
0:0:0:0:0:0:0:1 - - [07/Dec/2020:19:26:19 -0300] "GET /ProjetoFaClube/js/site.js HTTP/1.1" 200 3460
0:0:0:0:0:0:0:1 - - [07/Dec/2020:19:26:19 -0300] "GET /ProjetoFaClube/imgs/wally.png HTTP/1.1" 200 71115
0:0:0:0:0:0:0:1 - - [07/Dec/2020:19:26:19 -0300] "GET /ProjetoFaClube/imgs/flash1.png HTTP/1.1" 200 71232
0:0:0:0:0:0:0:1 - - [07/Dec/2020:19:26:20 -0300] "GET /ProjetoFaClube/pages/site/general/cabecalho.html HTTP/1.1" 200 100
0:0:0:0:0:0:0:1 - - [07/Dec/2020:19:26:20 -0300] "GET /ProjetoFaClube/pages/site/general/menu.html HTTP/1.1" 200 253
0:0:0:0:0:0:0:1 - - [07/Dec/2020:19:26:20 -0300] "GET /ProjetoFaClube/pages/site/general/rodape.html HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [07/Dec/2020:19:26:20 -0300] "GET /ProjetoFaClube/imgs/logoFlash.png HTTP/1.1" 200 12273
0:0:0:0:0:0:0:1 - - [07/Dec/2020:19:26:27 -0300] "GET /ProjetoFaClube/ HTTP/1.1" 200 1385
0:0:0:0:0:0:0:1 - - [07/Dec/2020:19:26:27 -0300] "GET /ProjetoFaClube/css/site.css HTTP/1.1" 200 3674
0:0:0:0:0:0:0:1 - - [07/Dec/2020:19:26:27 -0300] "GET /ProjetoFaClube/js/site.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Dec/2020:19:26:27 -0300] "GET /ProjetoFaClube/imgs/flash1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Dec/2020:19:26:27 -0300] "GET /ProjetoFaClube/imgs/wally.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Dec/2020:19:26:27 -0300] "GET /ProjetoFaClube/pages/site/general/cabecalho.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Dec/2020:19:26:27 -0300] "GET /ProjetoFaClube/pages/site/general/menu.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Dec/2020:19:26:27 -0300] "GET /ProjetoFaClube/pages/site/general/rodape.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Dec/2020:19:26:27 -0300] "GET /ProjetoFaClube/imgs/logoFlash.png HTTP/1.1" 200 12273
0:0:0:0:0:0:0:1 - - [07/Dec/2020:19:26:27 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [07/Dec/2020:19:26:30 -0300] "GET /ProjetoFaClube/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Dec/2020:19:26:30 -0300] "GET /ProjetoFaClube/pages/site/heroi.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Dec/2020:19:26:30 -0300] "GET /ProjetoFaClube/imgs/todosFlash.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Dec/2020:19:26:30 -0300] "GET /ProjetoFaClube/imgs/variosFlash.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Dec/2020:19:26:32 -0300] "GET /ProjetoFaClube/pages/site/inscricao.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Dec/2020:19:26:32 -0300] "GET /ProjetoFaClube/imgs/flashReverso.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Dec/2020:19:26:32 -0300] "GET /ProjetoFaClube/imgs/flashCorre.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Dec/2020:19:27:08 -0300] "GET /ProjetoFaClube/pages/site/inscricao.html HTTP/1.1" 304 -
